,stimuli,is_train,pitch,tone,time,cluster,label,rle_label,phoneme,label_all,speaker
0,esuko-LLH-3.wav,True,123.24108721553449,0.7467232596524972,0,0,L,L2,esuko,LLH,3.wav
1,esuko-LLH-3.wav,True,118.65530197991298,0.4184827740121844,1,0,L,L2,esuko,LLH,3.wav
2,esuko-LLH-3.wav,True,112.8592749171628,-0.015026713770846072,2,0,L,L2,esuko,LLH,3.wav
3,esuko-LLH-3.wav,True,109.68084859312951,-0.26230679931251244,3,0,L,L2,esuko,LLH,3.wav
4,esuko-LLH-3.wav,True,108.84443757871009,-0.32857054039993894,4,0,L,L2,esuko,LLH,3.wav
5,esuko-LLH-3.wav,True,104.0149206298922,-0.7214336680899645,5,0,L,L2,esuko,LLH,3.wav
6,esuko-LLH-3.wav,True,,,6,0,L,L2,esuko,LLH,3.wav
7,esuko-LLH-3.wav,True,,,7,0,L,L2,esuko,LLH,3.wav
8,esuko-LLH-3.wav,True,,,8,0,L,L2,esuko,LLH,3.wav
9,esuko-LLH-3.wav,True,,,9,0,L,L2,esuko,LLH,3.wav
10,esuko-LLH-3.wav,True,,,10,0,L,L2,esuko,LLH,3.wav
11,esuko-LLH-3.wav,True,,,11,0,L,L2,esuko,LLH,3.wav
12,esuko-LLH-3.wav,True,,,12,0,L,L2,esuko,LLH,3.wav
13,esuko-LLH-3.wav,True,,,13,0,L,L2,esuko,LLH,3.wav
14,esuko-LLH-3.wav,True,,,14,0,L,L2,esuko,LLH,3.wav
15,esuko-LLH-3.wav,True,,,15,0,L,L2,esuko,LLH,3.wav
16,esuko-LLH-3.wav,True,,,16,0,L,L2,esuko,LLH,3.wav
17,esuko-LLH-3.wav,True,,,17,1,L,L2,esuko,LLH,3.wav
18,esuko-LLH-3.wav,True,116.65378053305332,0.27122174979010555,18,1,L,L2,esuko,LLH,3.wav
19,esuko-LLH-3.wav,True,113.05536358343555,0.0,19,1,L,L2,esuko,LLH,3.wav
20,esuko-LLH-3.wav,True,108.85047702229811,-0.3280902494202971,20,1,L,L2,esuko,LLH,3.wav
21,esuko-LLH-3.wav,True,106.77116714242077,-0.49504397376472276,21,1,L,L2,esuko,LLH,3.wav
22,esuko-LLH-3.wav,True,105.4740350072972,-0.600849299618434,22,1,L,L2,esuko,LLH,3.wav
23,esuko-LLH-3.wav,True,103.2212541872416,-0.7877362375154601,23,1,L,L2,esuko,LLH,3.wav
24,esuko-LLH-3.wav,True,100.63089276854451,-1.0077370247904303,24,1,L,L2,esuko,LLH,3.wav
25,esuko-LLH-3.wav,True,100.99927897167038,-0.9761066669829862,25,1,L,L2,esuko,LLH,3.wav
26,esuko-LLH-3.wav,True,102.37961378103651,-0.8586058151416694,26,1,L,L2,esuko,LLH,3.wav
27,esuko-LLH-3.wav,True,102.40358999934652,-0.8565788693311943,27,1,L,L2,esuko,LLH,3.wav
28,esuko-LLH-3.wav,True,102.25489162161729,-0.8691574704146405,28,1,L,L2,esuko,LLH,3.wav
29,esuko-LLH-3.wav,True,103.65453639120534,-0.7514770890156293,29,1,L,L2,esuko,LLH,3.wav
30,esuko-LLH-3.wav,True,,,30,1,L,L2,esuko,LLH,3.wav
31,esuko-LLH-3.wav,True,,,31,1,L,L2,esuko,LLH,3.wav
32,esuko-LLH-3.wav,True,,,32,1,L,L2,esuko,LLH,3.wav
33,esuko-LLH-3.wav,True,,,33,1,L,L2,esuko,LLH,3.wav
34,esuko-LLH-3.wav,True,,,34,2,H,H1,esuko,LLH,3.wav
35,esuko-LLH-3.wav,True,,,35,2,H,H1,esuko,LLH,3.wav
36,esuko-LLH-3.wav,True,130.36754846647534,1.23333213307423,36,2,H,H1,esuko,LLH,3.wav
37,esuko-LLH-3.wav,True,129.0265123930561,1.1438286190758002,37,2,H,H1,esuko,LLH,3.wav
38,esuko-LLH-3.wav,True,128.19414365313918,1.0878055081744495,38,2,H,H1,esuko,LLH,3.wav
39,esuko-LLH-3.wav,True,127.55323378747977,1.0444202224413939,39,2,H,H1,esuko,LLH,3.wav
40,esuko-LLH-3.wav,True,125.60896366248473,0.9114598968416953,40,2,H,H1,esuko,LLH,3.wav
41,esuko-LLH-3.wav,True,122.39102998797784,0.6868103334517366,41,2,H,H1,esuko,LLH,3.wav
