voiced,subj_id,run_id,input_id,span_tokyo,span_kinki,age,data_src,span_unknown,devoiced,span_tokyo_span_kinki,span_tokyo_span_other,span_kinki_span_tokyo,span_kinki_span_other,tokyo_kinki_ratio
0.08333333333333333,127_0007,127,0007,55,0,55,sone,0,0.9166666666666666,55,55,-55,-55,1
0.16666666666666666,128_0009,128,0009,29,7,36,sone,0,0.8333333333333334,22,22,-22,-22,0.6111111111111112
0.125,131_0008,131,0008,38,0,38,sone,0,0.875,38,38,-38,-38,1
0,148_0006,148,0006,10,0,10,sone,0,1,10,10,-10,-10,1
0.041666666666666664,149_0005,149,0005,25,0,25,sone,0,0.9583333333333334,25,25,-25,-25,1
0.7083333333333334,151_1008,151,1008,32,33,65,sone,0,0.2916666666666667,-1,-1,1,1,-0.015384615384615385
0.25,23_0002,23,0002,2,0,2,sone,0,0.75,2,2,-2,-2,1
0.125,24_0003,24,0003,25,0,25,sone,0,0.875,25,25,-25,-25,1
0,25_0001,25,0001,24,0,24,sone,0,1,24,24,-24,-24,1
0.375,26_1001,26,1001,7,12,19,sone,0,0.625,-5,-5,5,5,-0.2631578947368421
0,34_1004,34,1004,5,25,30,sone,0,1,-20,-20,20,20,-0.6666666666666666
0.2916666666666667,36_1002,36,1002,5,25,30,sone,0,0.7083333333333334,-20,-20,20,20,-0.6666666666666666
0.625,71_1005,71,1005,0,28,28,sone,0,0.375,-28,-28,28,28,-1
0.4166666666666667,72_1006,72,1006,0,57,57,sone,0,0.5833333333333334,-57,-57,57,57,-1
0.4583333333333333,91_1007,91,1007,25,25,50,sone,0,0.5416666666666666,0,0,0,0,0
0,101_supershit666,101,supershit666,38,0,38,cw,0,1,38,38,-38,-38,1
0,105_yutapon1967,105,yutapon1967,0,35,35,cw,0,1,-35,-35,35,35,-1
0,107_beko,107,beko,31,0,31,cw,0,1,31,31,-31,-31,1
0,108_（たかはし）,108,（たかはし）,5,0,33,cw,28,1,5,-23,-5,-33,0.15151515151515152
0.5416666666666666,109_NAHYRM,109,NAHYRM,20,0,35,cw,15,0.4583333333333333,20,5,-20,-35,0.5714285714285714
0.3333333333333333,10_minmin0214,10,minmin0214,0,34,34,cw,0,0.6666666666666666,-34,-34,34,34,-1
0,117_HanaeKinoshita,117,HanaeKinoshita,9,0,28,cw,19,1,9,-10,-9,-28,0.32142857142857145
0,135_rag_55,135,rag_55,46,0,46,cw,0,1,46,46,-46,-46,1
0,136_hyoukai76,136,hyoukai76,0,26,40,cw,14,1,-26,-40,26,12,-0.65
0,139_もちこ79,139,もちこ79,0,41,41,cw,0,1,-41,-41,41,41,-1
0.625,143_michiko0257,143,michiko0257,0,37,37,cw,0,0.375,-37,-37,37,37,-1
