"作業ID","作業者","作業者ページURL","承認日時","1. 遷移先URL上での回答が完了した場合は下記にて「はい」を選択お願いいたします。","","2. URL先で回答したクラウドワークス上のワーカー名を記載お願いいたします。"
"55467738","minmin0214","http://crowdworks.jp/public/employees/3063359","2021-11-08 16:30:15","1","はい","minmin0214"
"55467710","yutapon1967","http://crowdworks.jp/public/employees/4087419","2021-11-08 18:37:05","1","はい","yutapon1967"
"55467714","bambooblue","http://crowdworks.jp/public/employees/3536109","2021-11-08 18:37:06","1","はい","bambooblue"
"55467717","halifox","http://crowdworks.jp/public/employees/652959","2021-11-08 18:37:07","1","はい","halifox"
"55467730","w.twinkle31","http://crowdworks.jp/public/employees/3979119","2021-11-08 18:37:09","1","はい","w.twinkle31"
"55467747","大阪城","http://crowdworks.jp/public/employees/472725","2021-11-08 18:37:09","1","はい","大阪城"
"55467820","hanahanasuki","http://crowdworks.jp/public/employees/4486854","2021-11-08 18:37:14","1","はい","hana_hana87"
"55467862","tumetume","http://crowdworks.jp/public/employees/1577048","2021-11-08 18:37:15","1","はい","tumetume"
"55471327","Ralphy","http://crowdworks.jp/public/employees/4103250","2021-11-08 18:37:17","1","はい","Ralphy"
"55471340","hyoukai76","http://crowdworks.jp/public/employees/839571","2021-11-08 18:37:18","1","はい","hyoukai76"
"55471345","michiko0257","http://crowdworks.jp/public/employees/3554155","2021-11-08 18:37:29","1","はい","michiko0257"
"55471355","Weetabix","http://crowdworks.jp/public/employees/2884266","2021-11-08 18:37:30","1","はい","Weetabix"
"55471364","もちこ79","http://crowdworks.jp/public/employees/2574468","2021-11-08 18:37:32","1","はい","もちこ79"
"55471383","K.Tominaga1","http://crowdworks.jp/public/employees/4408530","2021-11-08 18:37:33","1","はい","K.Tominaga1"
"55471395","syuzoku","http://crowdworks.jp/public/employees/39405","2021-11-08 18:37:34","1","はい","syuzoku"
"55471450","rurusieru","http://crowdworks.jp/public/employees/930809","2021-11-08 18:37:42","1","はい","rurusieru"
"55472746","1takuya1","http://crowdworks.jp/public/employees/192367","2021-11-08 18:37:51","1","はい","1takuya1"
"55472760","てだ２００","http://crowdworks.jp/public/employees/329254","2021-11-08 18:37:51","1","はい","てだ２００"
"55475679","tomjelly","http://crowdworks.jp/public/employees/4504489","2021-11-08 18:50:06","1","はい","tomjelly"
"55474096","oukasalve","http://crowdworks.jp/public/employees/4613043","2021-11-10 05:42:39","1","はい","oukasalve"
"55474194","miitiara0206","http://crowdworks.jp/public/employees/4627760","2021-11-10 05:42:39","1","はい","miru"
"55476813","Hideki032","http://crowdworks.jp/public/employees/4627158","2021-11-10 05:42:39","1","はい","Hideki032"
"55477614","ritzntm","http://crowdworks.jp/public/employees/4630464","2021-11-10 05:42:40","1","はい","ritzntm"
"55478490","koga1127","http://crowdworks.jp/public/employees/4624019","2021-11-10 05:42:40","1","はい","koga1127"
