task,item_id,audio
cat,1,espo-1.wav
cat,2,esupo-1.wav
cat,3,ezbo-1.wav
cat,4,ezubo-1.wav
cat,5,ekto-1.wav
cat,6,ekuto-1.wav
cat,7,egdo-1.wav
cat,8,egudo-1.wav
cat,9,epso-1.wav
cat,10,epuso-1.wav
cat,11,ebzo-1.wav
cat,12,ebuzo-1.wav
cat,13,etsko-1.wav
cat,14,etsuko-1.wav
cat,15,edzgo-1.wav
cat,16,edzugo-1.wav
cat,17,espo-2.wav
cat,18,esupo-2.wav
cat,19,ezbo-2.wav
cat,20,ezubo-2.wav
cat,21,ekto-2.wav
cat,22,ekuto-2.wav
cat,23,egdo-2.wav
cat,24,egudo-2.wav
cat,25,epso-2.wav
cat,26,epuso-2.wav
cat,27,ebzo-2.wav
cat,28,ebuzo-2.wav
cat,29,etsko-2.wav
cat,30,etsuko-2.wav
cat,31,edzgo-2.wav
cat,32,edzugo-2.wav
cat,33,esupo-3.wav
cat,34,espo-3.wav
cat,35,ezubo-3.wav
cat,36,ezbo-3.wav
cat,37,ekuto-3.wav
cat,38,ekto-3.wav
cat,39,egudo-3.wav
cat,40,egdo-3.wav
cat,41,epuso-3.wav
cat,42,epso-3.wav
cat,43,ebuzo-3.wav
cat,44,ebzo-3.wav
cat,45,etsuko-3.wav
cat,46,etsko-3.wav
cat,47,edzugo-3.wav
cat,48,edzgo-3.wav
