type,item_id,is_target,read,kanji,read,pre,tgt,post,dev_idx,pitch,c1,c2,vowel
production,1,1,北上 (きたかみ),北上,きたかみ,,きた,かみ,0,LH,破裂,破裂,i
production,2,1,効き目 (ききめ),効き目,ききめ,,きき,め,0,LH,破裂,破裂,i
production,3,1,くたびれる (くたびれる),くたびれる,くたびれる,,くた,びれる,0,LH,破裂,破裂,u
production,4,1,括る (くくる),括る,くくる,,くく,る,0,LH,破裂,破裂,u
production,5,1,地下 (ちか),地下,ちか,,ちか,,0,HL,破擦,破裂,i
production,6,1,竹輪 (ちくわ),竹輪,ちくわ,,ちく,わ,0,LH,破擦,破裂,i
production,7,1,お使い (おつかい),お使い,おつかい,お,つか,い,1,HH,破擦,破裂,u
production,8,1,付き合い (つきあい),付き合い,つきあい,,つき,あい,0,LH,破擦,破裂,u
production,9,1,市会 (しかい),市会,しかい,,しか,い,0,HL,摩擦,破裂,i
production,10,1,意識 (いしき),意識,いしき,い,しき,,1,LL,摩擦,破裂,i
production,11,1,双子 (ふたご),双子,ふたご,,ふた,ご,0,LH,摩擦,破裂,u
production,12,1,衣服 (いふく),衣服,いふく,い,ふく,,1,LL,摩擦,破裂,u
production,13,1,空き地 (あきち),空き地,あきち,あ,きち,,1,HH,破裂,破擦,i
production,14,1,狐 (きつね),狐,きつね,,きつ,ね,0,LH,破裂,破擦,i
production,15,1,唇 (くちびる),唇,くちびる,,くち,びる,0,LH,破裂,破擦,u
production,16,1,退屈 (たいくつ),退屈,たいくつ,たい,くつ,,2,HH,破裂,破擦,u
production,17,1,父 (ちち),父,ちち,,ちち,,0,HL,破擦,破擦,i
production,18,1,秩序 (ちつじょ),秩序,ちつじょ,,ちつ,じょ,0,HL,破擦,破擦,i
production,19,1,土 (つち),土,つち,,つち,,0,LH,破擦,破擦,u
production,20,1,五つ (いつつ),五つ,いつつ,い,つつ,,1,HL,破擦,破擦,u
production,21,1,七五 (しちご),七五,しちご,,しち,ご,0,LH,摩擦,破擦,i
production,22,1,質問 (しつもん),質問,しつもん,,しつ,もん,0,LH,摩擦,破擦,i
production,23,1,スチーム (すちーむ),スチーム,すちーむ,,すち,ーむ,0,LH,摩擦,破擦,u
production,24,1,普通 (ふつう),普通,ふつう,,ふつ,う,0,LH,摩擦,破擦,u
production,25,1,既成 (きせい),既成,きせい,,きせ,い,0,LH,破裂,摩擦,i
production,26,1,着過ぎる (きすぎる),着過ぎる,きすぎる,,きす,ぎる,0,LH,破裂,摩擦,i
production,27,1,鎖 (くさり),鎖,くさり,,くさ,り,0,LH,破裂,摩擦,u
production,28,1,薬 (くすり),薬,くすり,,くす,り,0,LH,破裂,摩擦,u
production,29,1,ご馳走 (ごちそう),ご馳走,ごちそう,ご,ちそ,う,1,HH,破擦,摩擦,i
production,30,1,致死量 (ちしりょう),致死量,ちしりょう,,ちし,りょう,0,LH,破擦,摩擦,i
production,31,1,初日の出 (はつひので),初日の出,はつひので,は,つひ,ので,1,HH,破擦,摩擦,u
production,32,1,写し (うつし),写し,うつし,う,つし,,1,HH,破擦,摩擦,u
production,33,1,視察 (しさつ),視察,しさつ,,しさ,つ,0,LH,摩擦,摩擦,i
production,34,1,獅子舞 (ししまい),獅子舞,ししまい,,しし,まい,0,LH,摩擦,摩擦,i
production,35,1,不正 (ふせい),不正,ふせい,,ふせ,い,0,LH,摩擦,摩擦,u
production,36,1,不思議 (ふしぎ),不思議,ふしぎ,,ふし,ぎ,0,LH,摩擦,摩擦,u
production,37,0,怪我 (けが),怪我,けが,,けが,,-1,LH,破裂,破裂,e
production,38,0,毛嫌い (けぎらい),毛嫌い,けぎらい,,けぎ,らい,-1,LH,破裂,破裂,e
production,39,0,心 (こころ),心,こころ,,ここ,ろ,-1,LH,破裂,破裂,o
production,40,0,小瓶 (こびん),小瓶,こびん,,こび,ん,-1,LH,破裂,破裂,o
production,41,0,チェコ (ちぇこ),チェコ,ちぇこ,,ちぇこ,,-1,HL,破擦,破裂,e
production,42,0,チェキア (ちぇきあ),チェキア,ちぇきあ,,ちぇき,あ,-1,HL,破擦,破裂,e
production,43,0,おちょこ (おちょこ),おちょこ,おちょこ,お,ちょこ,,-1,HL,破擦,破裂,o
production,44,0,貯金 (ちょきん),貯金,ちょきん,,ちょき,ん,-1,LH,破擦,破裂,o
production,45,0,セブ (せぶ),セブ,せぶ,,せぶ,,-1,HL,摩擦,破裂,e
production,46,0,背取り (せどり),背取り,せどり,,せど,り,-1,LH,摩擦,破裂,e
production,47,0,ソビエト (そびえと),ソビエト,そびえと,,そび,えと,-1,LH,摩擦,破裂,o
production,48,0,蕎麦 (そば),蕎麦,そば,,そば,,-1,HL,摩擦,破裂,o
production,49,0,蹴散らす (けちらす),蹴散らす,けちらす,,けち,らす,-1,LH,破裂,破擦,e
production,50,0,鉄 (てつ),鉄,てつ,,てつ,,-1,LH,破裂,破擦,e
production,51,0,こち亀 (こちかめ),こち亀,こちかめ,,こち,かめ,-1,LH,破裂,破擦,o
production,52,0,コチュジャン (こちゅじゃん),コチュジャン,こちゅじゃん,,こちゅ,じゃん,-1,LH,破裂,破擦,o
production,53,0,チェチェン (ちぇちぇん),チェチェン,ちぇちぇん,,ちぇちぇ,ん,-1,HL,破擦,破擦,e
production,54,0,じぇじぇ (じぇじぇ),じぇじぇ,じぇじぇ,,じぇじぇ,,-1,LH,破擦,破擦,e
production,55,0,貯蓄 (ちょちく),貯蓄,ちょちく,,ちょち,く,-1,LH,破擦,破擦,o
production,56,0,ジョジョ (じょじょ),ジョジョ,じょじょ,,じょじょ,,-1,HL,破擦,破擦,o
production,57,0,へちま (へちま),へちま,へちま,,へち,ま,-1,LH,摩擦,破擦,e
production,58,0,説明 (せつめい),説明,せつめい,,せつ,めい,-1,LH,摩擦,破擦,e
production,59,0,措置 (そち),措置,そち,,そち,,-1,HL,摩擦,破擦,o
production,60,0,ほつれ (ほつれ),ほつれ,ほつれ,,ほつ,れ,-1,LH,摩擦,破擦,o
production,61,0,テスト (てすと),テスト,てすと,,てす,と,-1,HL,破裂,摩擦,e
production,62,0,手相 (てそう),手相,てそう,,てそ,う,-1,LH,破裂,摩擦,e
production,63,0,都市 (とし),都市,とし,,とし,,-1,HL,破裂,摩擦,o
production,64,0,コスト (こすと),コスト,こすと,,こす,と,-1,HL,破裂,摩擦,o
