task,item_id,type,pair,condition,base,correct,item_a,item_x,item_b,v1,c1,v2-a,v2-x,v2-b,c2,v3,pitch_a,pitch_x,pitch_b,speaker_1,speaker_2,speaker_3,a,x,b,request_to_1,request_to_2,request_to_3
perception,1,target,1,devoiced,,a,espo,espo,esupo,e,s,,,u,p,o,,,,1,1,1,espo-1.wav,espo-1.wav,esupo-1.wav,espo-1.wav,espo-2.wav,esupo-3.wav
perception,2,target,1,devoiced,,b,esupo,espo,espo,e,s,u,,,p,o,,,,1,1,1,esupo-1.wav,espo-1.wav,espo-1.wav,esupo-1.wav,esupo-2.wav,espo-3.wav
perception,3,target,1,devoiced,u,a,esupo,esupo,espo,e,s,u,u,,p,o,,,,1,1,1,esupo-1.wav,esupo-1.wav,espo-1.wav,ezbo-1.wav,ezbo-2.wav,ezubo-3.wav
perception,4,target,1,devoiced,u,b,espo,esupo,esupo,e,s,,u,u,p,o,,,,1,1,1,espo-1.wav,esupo-1.wav,esupo-1.wav,ezubo-1.wav,ezubo-2.wav,ezbo-3.wav
perception,5,target,1,voiced,,a,ezbo,ezbo,ezubo,e,z,,,u,b,o,,,,1,1,1,ezbo-1.wav,ezbo-1.wav,ezubo-1.wav,ekto-1.wav,ekto-2.wav,ekuto-3.wav
perception,6,target,1,voiced,,b,ezubo,ezbo,ezbo,e,z,u,,,b,o,,,,1,1,1,ezubo-1.wav,ezbo-1.wav,ezbo-1.wav,ekuto-1.wav,ekuto-2.wav,ekto-3.wav
perception,7,target,1,voiced,u,a,ezubo,ezubo,ezbo,e,z,u,u,,b,o,,,,1,1,1,ezubo-1.wav,ezubo-1.wav,ezbo-1.wav,egdo-1.wav,egdo-2.wav,egudo-3.wav
perception,8,target,1,voiced,u,b,ezbo,ezubo,ezubo,e,z,,u,u,b,o,,,,1,1,1,ezbo-1.wav,ezubo-1.wav,ezubo-1.wav,egudo-1.wav,egudo-2.wav,egdo-3.wav
perception,9,target,2,devoiced,,a,ekto,ekto,ekuto,e,k,,,u,t,o,,,,1,1,1,ekto-1.wav,ekto-1.wav,ekuto-1.wav,epso-1.wav,epso-2.wav,epuso-3.wav
perception,10,target,2,devoiced,,b,ekuto,ekto,ekto,e,k,u,,,t,o,,,,1,1,1,ekuto-1.wav,ekto-1.wav,ekto-1.wav,epuso-1.wav,epuso-2.wav,epso-3.wav
perception,11,target,2,devoiced,u,a,ekuto,ekuto,ekto,e,k,u,u,,t,o,,,,1,1,1,ekuto-1.wav,ekuto-1.wav,ekto-1.wav,ebzo-1.wav,ebzo-2.wav,ebuzo-3.wav
